Flight_Date,Airline_Code,Origin_Airport,Destination_Airport,Scheduled_Departure,Actual_Departure,Departure_Delay,Scheduled_Arrival,Actual_Arrival,Arrival_Delay,Cancelled,Cancellation_Reason
2025-06-07,FlyDubai,DOH,ORD,0755,0939,104,0541,0725,104,0,
2025-02-07,Lufthansa,PEK,AUH,1731,1722,-9,1108,1101,-7,0,
2025-06-05,Etihad,ICN,PEK,1622,1727,65,0144,0251,67,0,
2025-06-07,Emirates,CDG,AUH,0433,0422,-11,1839,1832,-7,0,
2024-10-17,Qatar Airways,LHR,FRA,1919,2033,74,0819,0946,87,0,
2025-08-13,British Airways,LAX,DXB,1650,1637,-13,0015,2352,-23,0,
2025-07-09,Qatar Airways,DOH,SYD,1052,1230,98,1851,2022,91,0,
2025-08-02,American Airlines,ICN,SFO,1410,1501,51,1815,1929,74,0,
2025-03-30,Qatar Airways,SYD,ORD,1949,2013,24,2213,2233,20,0,
2025-07-24,Singapore Airlines,BOM,KWI,0247,0250,3,1200,1209,9,0,
2024-12-25,Delta,DOH,JFK,0540,0706,86,1823,1939,76,0,
2025-04-20,Emirates,LAX,DEL,1317,1429,72,1414,1552,98,0,
2024-11-16,Air India,SYD,HND,0916,0857,-19,0706,0711,5,0,
2024-11-17,Etihad,KWI,SIN,0702,0731,29,0215,0308,53,0,
2024-10-08,Etihad,ORD,AUH,1829,1858,29,2013,2047,34,0,
2024-11-09,Lufthansa,PEK,DEL,1551,1651,60,0600,0706,66,0,
2024-10-07,Qatar Airways,LAX,BOM,1725,1847,82,2213,2356,103,0,
2024-09-02,Lufthansa,DOH,DEL,0226,0207,-19,0505,0513,8,0,
2025-07-16,British Airways,JFK,LHR,0319,0353,34,1634,1720,46,0,
2025-03-22,American Airlines,LAX,LHR,1041,1143,62,1930,2030,60,0,
2025-02-23,Emirates,DOH,KWI,1539,1606,27,1809,1836,27,0,
2025-05-06,FlyDubai,FRA,PEK,0616,0746,90,1437,1634,117,0,
2024-09-29,FlyDubai,HND,SYD,1939,1955,16,1118,1151,33,0,
2025-03-19,Etihad,SIN,LAX,1402,1408,6,2158,2216,18,0,
2025-06-18,Emirates,ORD,DFW,1407,1529,82,0606,0741,95,0,
2025-07-13,Emirates,SFO,AUH,1537,1549,12,0426,0505,39,0,
2024-12-20,FlyDubai,ORD,LHR,0511,0653,102,0446,0648,122,0,
2024-09-16,Emirates,BOM,DEL,1755,1926,91,2210,0001,111,0,
2025-06-22,Etihad,DOH,CDG,1618,1808,110,0511,0723,132,0,
2025-03-24,British Airways,ORD,JFK,0020,0114,54,1308,1356,48,0,
2024-08-31,American Airlines,BKK,JFK,1105,1237,92,0224,0425,121,0,
2025-03-15,Singapore Airlines,ORD,DFW,0955,1006,11,1733,1810,37,0,
2025-06-11,Delta,LAX,AUH,1238,1352,74,0519,0645,86,0,
2025-04-05,Etihad,LHR,PEK,0146,0207,21,1239,1315,36,0,
2025-02-22,Lufthansa,DEL,CDG,1258,1406,68,2156,2304,68,0,
2025-08-26,Lufthansa,BKK,SYD,0305,0346,41,0205,0251,46,0,
2024-11-15,Lufthansa,CDG,SIN,0442,0542,60,1520,1642,82,0,
2025-02-27,Singapore Airlines,DOH,ORD,2008,2102,54,0725,0845,80,0,
2024-10-19,Air India,SYD,DEL,0233,0342,69,1414,1516,62,0,
2024-11-01,Delta,DOH,ORD,0025,0048,23,0212,0253,41,0,
2025-06-18,Air India,ORD,KWI,0132,0151,19,1101,1147,46,0,
2024-09-08,Lufthansa,ICN,SIN,1932,2043,71,0605,0745,100,0,
2025-08-22,British Airways,FRA,SFO,0755,0754,-1,1631,1641,10,0,
2025-05-09,Qatar Airways,FRA,LHR,1945,2127,102,0554,0758,124,0,
2025-05-10,Lufthansa,DXB,DEL,1244,1346,62,0144,0301,77,0,
2024-09-04,Qatar Airways,LHR,ORD,0929,0934,5,1810,1828,18,0,
2024-12-08,American Airlines,ICN,SFO,2247,0004,77,1440,1554,74,0,
2025-01-17,Qatar Airways,DOH,KWI,0126,0119,-7,0851,0905,14,0,
2025-03-27,Air India,HND,SIN,1336,1336,0,0800,0812,12,0,
2024-10-31,Qatar Airways,LAX,ORD,1545,1736,111,1026,1245,139,0,
2025-01-05,Delta,DOH,DFW,0526,0552,26,1447,1510,23,0,
2025-04-07,Emirates,HND,DOH,2025,2142,77,1544,1700,76,0,
2024-10-12,Lufthansa,DFW,SIN,0947,0947,0,0706,0726,20,0,
2025-06-26,Emirates,LHR,SYD,0901,1050,109,0351,0539,108,0,
2025-02-02,Delta,SYD,KWI,0650,0838,108,1523,1712,109,0,
2024-10-16,Singapore Airlines,DOH,CDG,1346,1519,93,0633,0821,108,0,
2025-02-09,Singapore Airlines,PEK,AUH,1316,1326,10,0521,0555,34,0,
2024-10-24,Singapore Airlines,DOH,HND,0931,1046,75,1149,1328,99,0,
2025-04-16,British Airways,JFK,PEK,1451,1519,28,0537,0627,50,0,
2025-06-26,Air India,SIN,KWI,0812,0811,-1,0627,0618,-9,0,
